 Sr.No , Type , Speciality , SKU Code , Short Specification , Detailed Specification , Unit Of Manufracturng , Units , Portfolio , Brand , Sub Brand , Section 
396, Stapler ,Stapler-Reload,MLCR80-3.8,Disposable LINEAR CUTTER RELOAD 80mm-3.8mm (Blue),DISPOSABLE LINEARCUTTER RELOAD80-3.8,EA, 1 , P-2 ,Mirus,Linear Cutter Reload,Section I
397, Stapler ,Stapler-Reload,MLCR80-4.8,Disposable LINEAR CUTTER RELOAD 80mm-4.8mm (Green),DISPOSABLE LINEARCUTTER RELOAD80-4.8,EA, 1 , P-2 ,Mirus,Linear Cutter Reload,Section I
398, Stapler ,Stapler-Reload,MLSDR30,Disposable LINER STAPLER DIAL RELOAD 30,DISPOSABLE LINER STAPLER DIAL RELOAD 30,EA, 1 , P-2 ,Mirus,Linear Stapler Reload Dial,Section I
399, Stapler ,Stapler-Reload,MLSDR45,Disposable LINER STAPLER DIAL RELOAD 45,DISPOSABLE LINER STAPLER DIAL RELOAD 45,EA, 1 , P-2 ,Mirus,Linear Stapler Reload Dial,Section I
400, Stapler ,Stapler-Reload,MLSDR60,Disposable LINER STAPLER DIAL RELOAD 60,DISPOSABLE LINER STAPLER DIAL RELOAD 60,EA, 1 , P-2 ,Mirus,Linear Stapler Reload Dial,Section I
401, Stapler ,Stapler-Reload,MLSDR90,Disposable LINER STAPLER DIAL RELOAD 90,DISPOSABLE LINER STAPLER DIAL RELOAD 90,EA, 1 , P-2 ,Mirus,Linear Stapler Reload Dial,Section I
402, Stapler ,Stapler-Reload,MLSR30-3.5,Disposable LINEAR STAPLER RELOAD 30mm-3.5mm (Blue),DISPOSABLE LINEAR STAPLER RELOAD30-3.5,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
403, Stapler ,Stapler-Reload,MLSR30-4.8,Disposable LINEAR STAPLER RELOAD 30mm-4.8mm (Green),DISPOSABLE LINEAR STAPLER RELOAD30-4.8,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
404, Stapler ,Stapler-Reload,MLSR45-3.5,Disposable LINEAR STAPLER RELOAD 45mm-3.5mm (Blue),DISPOSABLE LINEAR STAPLER RELOAD45-3.5,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
405, Stapler ,Stapler-Reload,MLSR45-4.8,Disposable LINEAR STAPLER RELOAD 45mm-4.8mm (Green),DISPOSABLE LINEAR STAPLER RELOAD45-4.8,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
406, Stapler ,Stapler-Reload,MLSR60-3.5,Disposable LINEAR STAPLER RELOAD 60mm-3.5mm (Blue),DISPOSABLE LINEAR STAPLER RELOAD60-3.5,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
407, Stapler ,Stapler-Reload,MLSR60-4.8,Disposable LINEAR STAPLER RELOAD 60mm-4.8mm (Green),DISPOSABLE LINEAR STAPLER RELOAD60-4.8,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
408, Stapler ,Stapler-Reload,MLSR90-3.5,Disposable LINEAR STAPLER RELOAD 90mm-3.5mm (Blue),DISPOSABLE LINEAR STAPLER RELOAD90-3.5,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
409, Stapler ,Stapler-Reload,MLSR90-4.8,Disposable LINEAR STAPLER RELOAD 90mm-4.8mm (Green),DISPOSABLE LINEAR STAPLER RELOAD90-4.8,EA, 1 , P-2 ,Mirus,Linear Stapler Reload,Section I
410, Suture ,NCV,MLT KIT-DDLT-GP,Liver Kit - DDLT Donor - GP,Meril Liver Kit - DDLT Donor - GP,BOX, 1 , P-1 ,Liver Transplant Kit,Liver Transplant Kit,Section C
411, Kit ,NCV,MLT KIT-DDLT-RM,Liver Transplant Kit-DDLT Donor,Meril Liver Transplant Kit-DDLT Donor,BOX, 1 , P-1 ,Liver Transplant Kit,Liver Transplant Kit,Section C
412, Suture ,NCV,MLT KIT-LDLT-GP,Liver Kit - LDLT Recipient - GP,Meril Liver Kit - LDLT Recipient - GP,BOX, 1 , P-1 ,Liver Transplant Kit,Liver Transplant Kit,Section C
413, Kit ,NCV,MLT KIT-LDLT-RM,Liver Transplant Kit-LDLTRecipient,Meril Liver Transplant Kit-LDLTRecipient,BOX, 1 , P-1 ,Liver Transplant Kit,Liver Transplant Kit,Section C
414, Suture ,NCV,MLT KIT-OLD-GP,Liver Kit - Open Living Donor - GP,Meril Liver Kit - Open Living Donor - GP,BOX, 1 , P-1 ,Liver Transplant Kit,Liver Transplant Kit,Section C
415, Kit ,NCV,MLT KIT-OLD-RM,Liver Trnsplnt Kit-OpenLivingDonor,Meril Liver Trnsplnt Kit-OpenLivingDonor,BOX, 1 , P-1 ,Liver Transplant Kit,Liver Transplant Kit,Section C
416, Stapler ,Liga Clip,MLT-100,TITANIUM LIGATING CLIP SMALL,LIGATING CLIP 100,BOX, 20 , P-1 ,Mirus,Ligation Clips U,Section I
417, Stapler ,Liga Clip,MLT-200,TITANIUM LIGATING CLIP MEDIUM,LIGATING CLIP 200,BOX, 20 , P-1 ,Mirus,Ligation Clips U,Section I
418, Stapler ,Liga Clip,MLT-300,TITANIUM LIGATING CLIP MEDIUM-LARGE,LIGATING CLIP 300,BOX, 20 , P-1 ,Mirus,Ligation Clips U,Section I
419, Stapler ,Liga Clip,MLT-400,TITANIUM LIGATING CLIP LARGE,LIGATING CLIP 400,BOX, 20 , P-1 ,Mirus,Ligation Clips U,Section I
420, Suture ,NCV,MME20758X5,POLYESTER White & Green 2-0 X 75-20MM 1/2 Circle Taper Cut Double  Needle Pledgets,POLYESTER WHGR 2-0 X 75-20MM HCTC DOUBLE NEEDLE  TP5,BOX, 12 , P-1 ,Merisoft Chromic,Merisoft Chromic,Section L
421, Suture ,CV,MME6555,POLYESTER White & Green 2-0X75-17MM 1/2 Circle Taper Cut Double  Needle Pledgets,POLYESTER WHGR 2-0X75-17MM 1/2 CIRCLE TAPERCUT DOUBLE NEEDLE  TP5,BOX, 6 , P-1 ,Mericron Xl,Mericron Xl P,Section C
422, Suture ,CV,MME6555MP,POLYESTER White & Green 2-0X75-17MM 1/2 Circle Taper Cut Double Needle Pledgets,POLYESTER XL WHGR 2-0X75-17MM HCTCDN TP3,BOX, 6 , P-1 ,Mericron Xl,Mericron Xl P,Section C
423, Suture ,CV,MME6555X,POLYESTER White & Green 2-0X75-17MM 1/2 Circle Taper Cut Double  Needle Pledgets,POLYESTER WHGR 2-0X75-17MM 1/2 CIRCLE TAPERCUT DOUBLE NEEDLE  TP6,BOX, 6 , P-1 ,Mericron Xl,Mericron Xl P,Section C
424, Suture ,CV,MME6577,POLYESTER White & Green 2-0X75-25MM 1/2 Circle Taper Cut Double  Needle Pledgets,POLYESTER WHGR 2-0X75-25MM 1/2 CIRCLE TAPERCUT DOUBLE NEEDLE  TP5,BOX, 6 , P-1 ,Mericron Xl,Mericron Xl P,Section C
425, Suture ,CV,MME6577MP,POLYESTER White & Green 2-0X75-25MM 1/2 Circle Taper Cut Double Needle  Pledgets,POLYESTER XL WHGR 2-0X75-25MM HCTCDN TP3,BOX, 6 , P-1 ,Mericron Xl,Mericron Xl P,Section C
426, Suture ,CV,MME6577X,POLYESTER White & Green 2-0X75-25MM 1/2 Circle Taper Cut Double  Needle Pledgets,POLYESTER WHGR 2-0X75-25MM 1/2 CIRCLE TAPERCUT DOUBLE NEEDLE  TP6,BOX, 6 , P-1 ,Mericron Xl,Mericron Xl P,Section C
427, Stapler ,Trocar,MNK10,"DISPOSABLE BLADELESS OPTICAL TROCAR -10MM diameter, 95mm length", DISPOSABLE TROCAR -10MM,EA, 1 , P-2 ,Monik,Trocar,Section I
428, Stapler ,Trocar,MNK-10,DISPOSABLE BLADELESS OPTICAL TROCAR 10 MM diameter 95mm length, TROCAR 10 MM,EA, 1 , P-2 ,Monik,Trocar,Section I
429, Stapler ,Trocar,MNK12,DISPOSABLE BLADELESS OPTICAL TROCAR -12MM diameter 95mm length, DISPOSABLE TROCAR -12MM,EA, 1 , P-2 ,Monik,Trocar,Section I
430, Stapler ,Trocar,MNK-12,DISPOSABLE BLADELESS OPTICAL TROCAR 12 MM diameter 95mm length, TROCAR 12 MM,EA, 1 , P-2 ,Monik,Trocar,Section I
431, Stapler ,Trocar,MNK15,DISPOSABLE BLADELESS OPTICAL TROCAR -15MM diameter 110mm length, DISPOSABLE TROCAR -15MM,EA, 1 , P-2 ,Monik,Trocar,Section I
432, Stapler ,Trocar,MNK-15,"DISPOSABLE BLADELESS OPTICAL TROCAR 15 MM diameter, 110mm length", TROCAR 15 MM,EA, 1 , P-2 ,Monik,Trocar,Section I
433, Stapler ,Trocar,MNK5,"DISPOSABLE BLADELESS OPTICAL TROCAR -05MM diameter, 95mm length", DISPOSABLE TROCAR -05MM,EA, 1 , P-2 ,Monik,Trocar,Section I
434, Stapler ,Trocar,MNK-5,DISPOSABLE BLADELESS OPTICAL TROCAR 5 MM diameter 95mm length, TROCAR 5 MM,EA, 1 , P-2 ,Monik,Trocar,Section I
435, Stapler ,Trocar,MNKLS-12,DISPOSABLE BLADELESS OPTICAL LONG SLEEVE TROCAR 12MM diameter 150mm length, LONG SLEEVE TROCAR 12MM,EA, 1 , P-2 ,Monik,Trocar,Section I
436, Mesh ,Mesh,MPIT15-A,Powered Hernia Mesh Fixation Device Absorbable- 15 tacks,"Powered tacker offer is smart choice for faster, secure mesh fixation. Inline handle design with rubber grip. Powered hernia mesh fixation device absorbable tacks made from Polyglycolide-Co-Lactide (PGLA). It is screw-shaped hook design to ensure strong fixation, with each device containing 15 tacks. The device operates via a powered firing mechanism activated by a push-button, offering consistent deployment. It includes a tack counter display for precise application tracking. The fixation cannula measures 36 cm in length with a 5mm tube diameter. The absorbable tacks are designed to be fully absorbed within 5 to 6 months",EA, 1 , P-2 ,i-Tack A,Advance Tacker,Section F
437, Mesh ,Mesh,MPIT30-A,Powered Hernia Mesh Fixation Device Absorbable- 30 tacks,"Powered tacker offer is smart choice for faster, secure mesh fixation. Inline handle design with rubber grip. Powered hernia mesh fixation device absorbable tacks made from Polyglycolide-Co-Lactide (PGLA). It is screw-shaped hook design to ensure strong fixation, with each device containing 30 tacks. The device operates via a powered firing mechanism activated by a push-button, offering consistent deployment. It includes a tack counter display for precise application tracking. The fixation cannula measures 36 cm in length with a 5mm tube diameter. The absorbable tacks are designed to be fully absorbed within 5 to 6 months",EA, 1 , P-2 ,i-Tack A,Advance Tacker,Section F
438, Stapler ,Stapler-Device,MPPH32,Disposable Hemorrhoids Stapler 2 row 32mm,DISPOSABLE PPH 32,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
439, Stapler ,Stapler-Device,MPPH-32,Disposable  HEMORRHOID STAPLER 32MM, DISPOSABLE  HEMORRHOID STAPLER 32MM,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
440, Stapler ,Stapler-Device,MPPH34,Disposable Hemorrhoids Stapler 2 row 34mm,DISPOSABLE PPH 34,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
441, Stapler ,Stapler-Device,MPPH-34,Disposable  HEMORRHOID STAPLER 34MM, DISPOSABLE  HEMORRHOID STAPLER 34MM,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
442, Stapler ,Stapler-Device,MPPH34R3,Disposable Hemorrhoids Stapler 3 row 34mm,DISPOSABLE PPH 3ROW 34,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
443, Stapler ,Stapler-Device,MPPS32,DISPOSABLE HEMORRHOID STAPLER 32MM, DISPOSABLE HEMORRHOID STAPLER 32MM,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
444, Stapler ,Stapler-Device,MPPS34,DISPOSABLE HEMORRHOID STAPLER 34MM, DISPOSABLE HEMORRHOID STAPLER 34MM,EA, 1 , P-2 ,Mirus,Pph Stapler,Section I
445, Suture ,NCV,MS2160DN,Polyglycolic Acid   Violet 1 X 180-50/40MM 3/8 Circle Round Body 1/2 Circle Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 180-50/40MM 3/8 CIRCLE ROUND BODY  1/2 CIRCLE TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
446, Suture ,NCV,MS2303,Polyglycolic Acid   Violet 5-0 X 45-16MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
447, Suture ,NCV,MS2304,Polyglycolic Acid   Violet 4-0 X 70-20MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  4-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
448, Suture ,NCV,MS2305,Polyglycolic Acid   Violet 4-0 X 70-16MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  4-0 X 70-16MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
449, Suture ,NCV,MS2317,Polyglycolic Acid   Violet 2-0 X 90-30MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  2-0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
450, Suture ,NCV,MS2317DN,Polyglycolic Acid   Violet 2-0 X 140-30MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  2-0 X 140-30MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
451, Suture ,NCV,MS2338,Polyglycolic Acid   Violet 0 X 90-30MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
452, Suture ,NCV,MS2345,Polyglycolic Acid   Violet 2-0 X 90-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  2-0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
453, Suture ,NCV,MS2346,Polyglycolic Acid   Violet 0 X 90-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
454, Suture ,NCV,MS2346DN,Polyglycolic Acid   Violet 0 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
455, Suture ,NCV,MS2346DNL,Polyglycolic Acid   Violet 0 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
456, Suture ,NCV,MS2346S,Polyglycolic Acid   Violet 0 X 45-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  0 X 45-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
457, Suture ,NCV,MS2346U,Polyglycolic Acid   Undyed  0 X 90-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID UNDYED  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
458, Suture ,NCV,MS2347,Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  TN,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
459, Suture ,NCV,MS2347DN,Polyglycolic Acid   Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
460, Suture ,NCV,MS2347DNL,Polyglycolic Acid   Violet 1 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
461, Suture ,NCV,MS2347DS,Polyglycolic Acid   Violet 1 X 110-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  1 X 110-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
462, Suture ,NCV,MS2347S,Polyglycolic Acid   Violet 1 X 45-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  1 X 45-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
463, Suture ,NCV,MS2359,Polyglycolic Acid   Violet 1 X 70-40MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  1 X 70-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
464, Suture ,NCV,MS2360,Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Round Body Heavy,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  TH,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
465, Suture ,NCV,MS2382,Polyglycolic Acid   Violet 2-0 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLYCOLIC ACID VIOLET  2-0 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
466, Suture ,NCV,MS2421,Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
467, Suture ,NCV,MS2437,Polyglycolic Acid   Violet 3-0 X 70-20MM 1/2 Circle Round Body ,POLYGLYCOLIC ACID VIOLET  3-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
468, Suture ,NCV,MS2472,Polyglycolic Acid   Violet 3-0 X 90-22MM 1/2 Circle Cutting ,POLYGLYCOLIC ACID VIOLET  3-0 X 90-22MM 1/2 CIRCLE CUTTING ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
469, Suture ,NCV,MS2478,Polyglycolic Acid   Violet 2 X 90-40MM 1/2 Circle Reverse Cutting ,POLYGLYCOLIC ACID VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
470, Suture ,NCV,MS2494,Polyglycolic Acid   Violet 4-0 X 45-12MM 3/8 Circle Reverse Cutting ,POLYGLYCOLIC ACID VIOLET  4-0 X 45-12MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
471, Suture ,NCV,MS2518,Polyglycolic Acid   Violet 0 X 90-40MM 1/2 Circle Taper Cut ,POLYGLYCOLIC ACID VIOLET  0 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
472, Suture ,NCV,MS2518SL,Polyglycolic Acid   Violet 0 X 45-40MM 1/2 Circle Taper Cut ,POLYGLYCOLIC ACID VIOLET  0 X 45-40MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
473, Suture ,NCV,MS2534,Polyglycolic Acid   Violet 0 X 90-36MM 1/2 Circle Reverse Cutting ,POLYGLYCOLIC ACID VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
474, Suture ,NCV,MS2614NS,Polyglycolic Acid   Violet 0 X 180,POLYGLYCOLIC ACID VIOLET  0 X 180,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
475, Suture ,NCV,MS2615NS,Polyglycolic Acid   Violet 2-0 X 180,POLYGLYCOLIC ACID VIOLET  2-0 X 180,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
476, Suture ,NCV,MS2762,Polyglycolic Acid   RPD Undyed  2-0 X 90-36MM 1/2 Circle Taper Cut ,POLYGLYCOLIC ACID RPD UNDYED  2-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ, 12 , P-1 ,Megasorb,Megasorb Rpd,Section A
477, Suture ,NCV,MS2777,Polyglycolic Acid   RPD Undyed  2-0 X 140-36MM 1/2 Circle Reverse Cutting Round Body Double  Needle ,POLYGLYCOLIC ACID RPD UNDYED  2-0 X 140-36MM 1/2 CIRCLE REVERSE CUTTING  ROUND BODY  DOUBLE NEEDLE ,DZ, 12 , P-1 ,Megasorb,Megasorb Rpd,Section A
478, Suture ,NCV,MS9918U,Polyglycolic Acid   Undyed  4-0 X 75-26MM 3/8 Circle Cutting ,POLYGLYCOLIC ACID UNDYED  4-0 X 75-26MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
479, Suture ,NCV,MS9932U,Polyglycolic Acid   Undyed  3-0 X 75-26MM 3/8 Circle Reverse Cutting ,POLYGLYCOLIC ACID UNDYED  3-0 X 75-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Megasorb,Megasorb,Section A
480, Kit ,Training Tools,MSPS,Suture Practice Starter Kit-Basic,Meril Suture Practice Starter Kit-Basic,BOX, 1 , P-1 ,Meril Engage,Meril Engage,Section B
481, Stapler ,Stapler-Device,MSS35,Disposable SKIN STAPLER-35MM,DISPOSABLE SKIN STAPLER-35MM,EA, 6 , P-1 ,Mirus,Skin Stapler,Section I
482, Stapler ,Stapler-Device,MSS-35,SKIN STAPLER, SKIN STAPLER,EA, 6 , P-1 ,Mirus,Skin Stapler,Section I
483, Stapler ,Stapler-Device,MSSP35,SKIN STAPLER PLUS 35mm,SKIN STAPLER PLUS,EA, 6 , P-1 ,Mirus,Skin Stapler,Section I
484, Stapler ,Stapler-Device,MSSP-35,SKIN STAPLER PLUS 35mm, SKIN STAPLER PLUS,EA, 6 , P-1 ,Mirus,Skin Stapler,Section I
485, Energy Device ,Energy Device,MUFS-02,FOOT SWITCH,FOOT SWITCH,EA, 1 , P-2 ,Mesic,Mesic Fs,Section J
486, Energy Device ,Energy Device,MUGEN-01,ULTRASONIC GENERATOR,ULTRASONIC GENERATOR,EA, 1 , P-2 ,Mesic,Mesic Generator,Section J
487, Stapler ,Energy Device,MUGEN-02,COMPACT ULTRASONIC GENERATOR,COMPACT ULTRASONIC GENERATOR,EA, 1 , P-2 ,Ultrasonic Generator,Ultrasonic Generator,Section J
488, Energy Device ,Energy Device,MUHP-01,HAND PIECE/TRANSDUCER,HAND PIECE/TRANSDUCER,EA, 1 , P-2 ,Mesic,Mesic Transducer,Section J
489, Energy Device ,Energy Device,MUS-14,ULTRASONIC SCALPEL -14CM, ULTRASONIC SCALPEL -14CM,EA, 1 , P-2 ,Mesic,Mesic Probe,Section J
490, Energy Device ,Energy Device,MUS-23,ULTRASONIC SCALPEL -23CM, ULTRASONIC SCALPEL -23CM,EA, 1 , P-2 ,Mesic,Mesic Probe,Section J
491, Energy Device ,Energy Device,MUS36,ULTRASONIC SCALPEL - 36MM,ULTRASONIC SCALPEL - 36MM,EA, 1 , P-2 ,Mesic,Mesic Probe,Section J
492, Energy Device ,Energy Device,MUS-36,ULTRASONIC SCALPEL -36CM, ULTRASONIC SCALPEL -36CM,EA, 1 , P-2 ,Mesic,Mesic Probe,Section J
493, Energy Device ,Energy Device,MUS-45,ULTRASONIC SCALPEL -45CM, ULTRASONIC SCALPEL -45CM,EA, 1 , P-2 ,Mesic,Mesic Probe,Section J
494, Stapler ,Energy Device,MUSP-14,ULTRASONIC SCALPEL WITH TRANSDUCER-14CM,ULTRASONIC SCALPEL WITH TRANSDUCER-14CM,EA, 1 , P-2 ,Probes,Probes,Section J
495, Stapler ,Energy Device,MUSP-23,ULTRASONIC SCALPEL WITH TRANSDUCER-23CM,ULTRASONIC SCALPEL WITH TRANSDUCER-23CM,EA, 1 , P-2 ,Probes,Probes,Section J
496, Stapler ,Energy Device,MUSP-36,ULTRASONIC SCALPEL WITH TRANSDUCER-36CM,ULTRASONIC SCALPEL WITH TRANSDUCER-36CM,EA, 1 , P-2 ,Probes,Probes,Section J
497, Stapler ,Energy Device,MUSP-45,ULTRASONIC SCALPEL WITH TRANSDUCER-45CM,ULTRASONIC SCALPEL WITH TRANSDUCER-45CM,EA, 1 , P-2 ,Probes,Probes,Section J
498, Kit ,CV,MVR KIT - I,MVR KIT FOR DR. MAHESH KEDAR,MVR KIT FOR DR. MAHESH KEDAR,BOX, 1 , P-1 ,Meri - Kit,Mvr Kit,Section C
499, Kit ,CV,MVR KIT - II,MVR KIT-DR.VINAYAK KARMARKAR,MVR KIT-DR.VINAYAK KARMARKAR,BOX, 1 , P-1 ,Meri - Kit,Mvr Kit,Section C
500, Suture ,NCV,NYL01 3338,POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
501, Suture ,NCV,NYL01 3347,POLYAMIDE Black 1 X 100-40MM 1/2 Circle Round Body,POLYAMIDE BLACK  1 X 100-40MM 1/2 CIRCLE ROUND BODY  ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
502, Suture ,NCV,NYL01 3348,POLYAMIDE Black 1 X 150-48MM 1/2 Circle Round Body LOOP,POLYAMIDE BLACK  1 X 150-48MM 1/2 CIRCLE ROUND BODY  LOOP,DZ, 12 , P-1 ,Filamide,Filamide,Section A
503, Suture ,NCV,NYL01 3362,POLYAMIDE Black 1 X 100-50MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-50MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
504, Suture ,NCV,NYL01 3397,POLYAMIDE Black 1 X 70-90MM 3/8 Circle Cutting,POLYAMIDE BLACK  1 X 70-90MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
505, Suture ,NCV,NYL013338NE,NE-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,POLYAMIDE BLACK  1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Filamide,Filamide,Section N
506, Suture ,NCV,NYL02 3398,POLYAMIDE Black 2 X 70-90MM 3/8 Circle Cutting,POLYAMIDE BLACK  2 X 70-90MM 3/8 CIRCLE CUTTING ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
507, Suture ,NCV,NYL10 3337,POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
508, Suture ,NCV,NYL10 3337XL,POLYAMIDE Black 0 X 150-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  0 X 150-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ, 12 , P-1 ,Filamide,Filamide,Section A
